Time,Object1Height,Object2Height,Object3Height
1.349413,1.6,0.001,0.001
1.352657,1.6,0.001,0.001
1.35544,1.6,0.001,0.001
1.358138,1.6,0.001,0.001
1.36083,1.6,0.001,0.001
1.36356,1.6,0.001,0.001
1.36613,1.6,0.001,0.001
1.368993,1.6,0.001,0.001
1.371844,1.6,0.001,0.001
1.374566,1.6,0.001,0.001
1.377285,1.6,0.001,0.001
1.379939,1.6,0.001,0.001
1.382661,1.6,0.001,0.001
1.385474,1.6,0.001,0.001
1.388034,1.6,0.001,0.001
1.390643,1.6,0.001,0.001
1.393301,1.6,0.001,0.001
1.395843,1.6,0.001,0.001
1.39845,1.6,0.001,0.001
1.401151,1.6,0.001,0.001
1.404029,1.6,0.001,0.001
1.406686,1.6,0.001,0.001
1.409333,1.6,0.001,0.001
1.411972,1.6,0.001,0.001
1.414657,1.6,0.001,0.001
1.417431,1.6,0.001,0.001
1.420032,1.6,0.001,0.001
1.422733,1.6,0.001,0.001
1.425332,1.6,0.001,0.001
1.428051,1.6,0.001,0.001
1.436039,1.6,0.001,0.001
1.439183,1.6,0.001,0.001
1.441828,1.6,0.001,0.001
1.444687,1.6,0.001,0.001
1.447415,1.6,0.001,0.001
1.450065,1.6,0.001,0.001
1.452731,1.6,0.001,0.001
1.455328,1.6,0.001,0.001
1.457845,1.6,0.001,0.001
1.460547,1.6,0.001,0.001
1.463221,1.6,0.001,0.001
1.465893,1.6,0.001,0.001
1.468499,1.6,0.001,0.001
1.471035,1.6,0.001,0.001
1.47362,1.6,0.001,0.001
1.476332,1.6,0.001,0.001
1.478928,1.6,0.001,0.001
1.481642,1.6,0.001,0.001
1.484393,1.6,0.001,0.001
1.487026,1.6,0.001,0.001
1.489641,1.6,0.001,0.001
1.49237,1.6,0.001,0.001
1.495039,1.6,0.001,0.001
1.497736,1.6,0.001,0.001
1.500354,1.6,0.001,0.001
1.50319,1.6,0.001,0.001
1.505817,1.6,0.001,0.001
1.508332,1.6,0.001,0.001
1.511007,1.6,0.001,0.001
1.513646,1.6,0.001,0.001
1.516286,1.6,0.001,0.001
1.519074,1.6,0.001,0.001
1.521729,1.6,0.001,0.001
1.524491,1.6,0.001,0.001
1.527191,1.6,0.001,0.001
1.529724,1.6,0.001,0.001
1.532353,1.6,0.001,0.001
1.535064,1.6,0.001,0.001
1.537623,1.6,0.001,0.001
1.540214,1.6,0.001,0.001
1.542949,1.6,0.001,0.001
1.545544,1.6,0.001,0.001
1.548239,1.6,0.001,0.001
1.550932,1.6,0.001,0.001
1.553513,1.6,0.001,0.001
1.556037,1.6,0.001,0.001
1.558657,1.6,0.001,0.001
1.561313,1.6,0.001,0.001
1.564132,1.6,0.001,0.001
1.566754,1.6,0.001,0.001
1.569404,1.6,0.001,0.001
1.572033,1.6,0.001,0.001
1.574653,1.6,0.001,0.001
1.57736,1.6,0.001,0.001
1.579932,1.6,0.001,0.001
1.582631,1.6,0.001,0.001
1.58541,1.6,0.001,0.001
1.587964,1.6,0.001,0.001
1.590521,1.6,0.001,0.001
1.593264,1.6,0.001,0.001
1.59583,1.6,0.001,0.001
1.598485,1.6,0.001,0.001
1.601091,1.6,0.001,0.001
1.604123,1.6,0.001,0.001
1.606723,1.6,0.001,0.001
1.609322,1.6,0.001,0.001
1.611926,1.6,0.001,0.001
1.6145,1.6,0.001,0.001
1.617138,1.6,0.001,0.001
1.61979,1.6,0.001,0.001
1.622427,1.6,0.001,0.001
1.625038,1.6,0.001,0.001
1.627692,1.6,0.001,0.001
1.630249,1.6,0.001,0.001
1.632854,1.6,0.001,0.001
1.635563,1.6,0.001,0.001
1.63815,1.6,0.001,0.001
1.640747,1.6,0.001,0.001
1.643546,1.6,0.001,0.001
1.64612,1.6,0.001,0.001
1.648773,1.6,0.001,0.001
1.651454,1.6,0.001,0.001
1.654034,1.6,0.001,0.001
1.661817,1.6,0.001,0.001
1.665387,1.60705,0.001,0.006495111
1.672065,1.607346,0.001,0.006743917
1.674935,1.607932,0.001,0.007239726
1.677683,1.608197,0.001,0.007465554
1.680335,1.608459,0.001,0.007689434
1.683127,1.608719,0.001,0.00791283
1.685926,1.609001,0.001,0.00815591
1.688533,1.609293,0.001,0.00840808
1.69133,1.609573,0.001,0.008650923
1.694076,1.609881,0.001,0.008920168
1.696724,1.610194,0.001,0.009193642
1.699424,1.610504,0.001,0.009466165
1.702133,1.610829,0.001,0.009753248
1.704843,1.611164,0.001,0.01005092
1.707431,1.61151,0.001,0.01035878
1.710147,1.611849,0.001,0.01066232
1.712746,1.612215,0.001,0.01099139
1.71543,1.612575,0.001,0.01131668
1.718187,1.612957,0.001,0.01166346
1.720744,1.61336,0.001,0.01203159
1.723525,1.613745,0.001,0.01238422
1.726953,1.614174,0.001,0.01278028
1.729738,1.614721,0.001,0.01328717
1.732453,1.615179,0.001,0.01371481
1.735144,1.615638,0.001,0.0141456
1.737762,1.616105,0.001,0.01458677
1.740419,1.616572,0.001,0.01502979
1.743196,1.617058,0.001,0.01549401
1.745838,1.61758,0.001,0.0159952
1.748543,1.618089,0.001,0.01648771
1.751274,1.618624,0.001,0.0170083
1.753933,1.619178,0.001,0.0175512
1.756731,1.619732,0.001,0.01809696
1.759579,1.62033,0.001,0.01869021
1.762336,1.620954,0.001,0.0193147
1.76522,1.621575,0.001,0.01993955
1.767976,1.62224,0.001,0.02061524
1.770649,1.622893,0.001,0.02128276
1.773218,1.623542,0.001,0.02195118
1.775873,1.62418,0.001,0.02261381
1.778409,1.624854,0.001,0.02331978
1.78111,1.625513,0.001,0.02401464
1.784064,1.626231,0.001,0.02477778
1.786719,1.627036,0.001,0.02564047
1.789356,1.627776,0.001,0.02644118
1.79196,1.628527,0.001,0.02726094
1.799915,1.629286,0.001,0.02809561
1.802804,1.631703,0.001,0.03080459
1.805645,1.632618,0.001,0.03185061
1.808339,1.633538,0.001,0.03291316
1.810992,1.63443,0.001,0.03395256
1.813639,1.635325,0.001,0.03500764
1.81629,1.636236,0.001,0.03609179
1.818974,1.637165,0.001,0.03720994
1.821648,1.638124,0.001,0.03837568
1.824346,1.639097,0.001,0.03957239
1.827046,1.640097,0.001,0.04081577
1.829656,1.641116,0.001,0.04209702
1.832329,1.642118,0.001,0.04337165
1.835076,1.643161,0.001,0.04471509
1.837695,1.644252,0.001,0.04613632
1.84036,1.645309,0.001,0.04753059
1.843088,1.646402,0.001,0.04898944
1.845639,1.647538,0.001,0.05052575
1.848353,1.648617,0.001,0.052003
1.851097,1.649782,0.001,0.05361749
1.853738,1.650976,0.001,0.05529644
1.856342,1.652142,0.001,0.0569572
1.85937,1.653307,0.001,0.05863874
1.86202,1.65468,0.001,0.06065009
1.864787,1.655899,0.001,0.06246127
1.867505,1.657186,0.001,0.06440252
1.870239,1.658466,0.001,0.06636108
1.872903,1.659769,0.001,0.06838337
1.875657,1.661052,0.001,0.07040522
1.878354,1.662392,0.001,0.07254899
1.880985,1.663718,0.001,0.07470193
1.883611,1.665023,0.001,0.07685446
1.88624,1.666338,0.001,0.07905377
1.888842,1.667665,0.001,0.0813076
1.891436,1.668988,0.001,0.08359044
1.894101,1.670317,0.001,0.08591755
1.896837,1.671692,0.001,0.08836117
1.899594,1.673113,0.001,0.09092811
1.902325,1.674554,0.001,0.09357225
1.90504,1.675989,0.001,0.09624987
1.907629,1.677423,0.001,0.09896962
1.914459,1.678797,0.001,0.1016148
1.917367,1.682445,0.001,0.1088417
1.920137,1.684006,0.001,0.112025
1.922935,1.685497,0.001,0.1151154
1.926064,1.687005,0.001,0.1182935
1.928706,1.688693,0.001,0.121915
1.931412,1.69012,0.001,0.1250248
1.934107,1.691581,0.001,0.1282606
1.936741,1.693035,0.001,0.1315296
1.939334,1.694455,0.001,0.1347694
1.941939,1.695851,0.001,0.1380005
1.944822,1.69725,0.001,0.1412862
1.953711,1.698794,0.001,0.1449653
1.956646,1.70352,0.001,0.1565666
1.959421,1.705065,0.001,0.1604698
1.962128,1.706517,0.001,0.1641875
1.964954,1.707925,0.001,0.1678347
1.967733,1.709385,0.001,0.1716609
1.970434,1.710811,0.001,0.1754384
1.97303,1.712187,0.001,0.1791204
1.976041,1.713498,0.001,0.182662
1.978733,1.715006,0.001,0.1867714
1.981422,1.716341,0.001,0.1904404
1.984212,1.717663,0.001,0.1940968
1.98695,1.71902,0.001,0.197875
1.989677,1.720338,0.001,0.2015636
1.992368,1.721635,0.001,0.2052111
1.995044,1.722901,0.001,0.2087813
1.997763,1.724146,0.001,0.2122974
2.000427,1.725395,0.001,0.2158292
2.003296,1.726604,0.001,0.2192442
2.005931,1.727888,0.001,0.2228664
2.008559,1.729051,0.001,0.2261364
2.011246,1.730195,0.001,0.2293392
2.01416,1.731348,0.001,0.2325477
2.016808,1.732579,0.001,0.2359451
2.019498,1.73368,0.001,0.2389536
2.022121,1.734782,0.001,0.2419292
2.024748,1.73584,0.001,0.2447465
2.027407,1.736882,0.001,0.2474802
2.030061,1.737919,0.001,0.2501544
2.032727,1.738937,0.001,0.2527255
2.03546,1.739942,0.001,0.2552066
2.038041,1.740955,0.001,0.257641
2.040645,1.741894,0.001,0.2598344
2.043509,1.742823,0.001,0.2619404
2.046138,1.743827,0.001,0.2641304
2.048802,1.74473,0.001,0.2660225
2.05158,1.745628,0.001,0.2678207
2.054544,1.746546,0.001,0.2695676
2.057459,1.747504,0.001,0.2712846
2.06031,1.748425,0.001,0.2728243
2.06314,1.749306,0.001,0.2741874
2.065897,1.750161,0.001,0.2753995
2.068617,1.750975,0.001,0.2764457
2.071239,1.751761,0.001,0.2773489
2.07395,1.752502,0.001,0.2780984
2.077016,1.753251,0.001,0.2787505
2.080072,1.754078,0.001,0.2793387
2.083415,1.754882,0.001,0.2797705
2.092039,1.755736,0.001,0.2800701
2.095126,1.757828,0.001,0.2800464
2.097851,1.758538,0.001,0.2797739
2.100431,1.759148,0.001,0.2794246
2.103216,1.759712,0.001,0.2790037
2.105924,1.760306,0.001,0.2784549
2.108521,1.760869,0.001,0.2778317
2.111163,1.761395,0.001,0.2771551
2.11385,1.761918,0.001,0.2763911
2.116495,1.762435,0.001,0.2755405
2.11908,1.762932,0.001,0.2746345
2.121615,1.763405,0.001,0.2736877
2.124348,1.763858,0.001,0.2727039
2.127034,1.764333,0.001,0.2715864
2.12963,1.764788,0.001,0.2704344
2.132308,1.765217,0.001,0.2692748
2.134959,1.765647,0.001,0.2680344
2.137534,1.766061,0.001,0.2667677
2.140187,1.766454,0.001,0.2655026
2.142963,1.766847,0.001,0.2641682
2.145587,1.767248,0.001,0.2627414
2.148313,1.767616,0.001,0.2613677
2.151024,1.767988,0.001,0.2599193
2.153511,1.768347,0.001,0.2584604
2.156034,1.768668,0.001,0.2571082
2.162833,1.768986,0.001,0.2557263
2.16594,1.7698,0.001,0.2519691
2.168711,1.770152,0.001,0.2502451
2.171318,1.770458,0.001,0.2487079
2.173916,1.770736,0.001,0.2472655
2.176522,1.771006,0.001,0.2458325
2.179139,1.77127,0.001,0.2444022
2.181771,1.771527,0.001,0.2429742
2.184594,1.771778,0.001,0.2415486
2.187218,1.77204,0.001,0.2400324
2.189847,1.772276,0.001,0.2386375
2.192533,1.772506,0.001,0.2372539
2.195102,1.772734,0.001,0.2358571
2.197762,1.772946,0.001,0.2345378
2.200343,1.773159,0.001,0.2331899
2.203115,1.77336,0.001,0.2319002
2.205744,1.77357,0.001,0.2305356
2.208324,1.773763,0.001,0.2292628
2.211013,1.773946,0.001,0.2280333
2.21374,1.774132,0.001,0.2267743
2.216341,1.774315,0.001,0.2255203
2.219029,1.774485,0.001,0.2243464
2.221667,1.774655,0.001,0.2231568
2.224326,1.774816,0.001,0.2220119
2.227001,1.774974,0.001,0.2208816
